Wo finde ich den nächsten Händler, ListRetailer
Gib mir eine Liste der Händler, ListRetailer
Welche Händler sind in Deutschland verfügbar, ListRetailer

Welche Produkte gibt es, ListProducts
Gib mir eine Liste der verfügbaren Produkte, ListProducts
Was produziert ihr, ListProducts

Wo werden die Produkte hergestellt, tellmeabout
Wie kann ich einen Katalog bestellen, tellmeabout
Wie sind die Garantiezeiten, tellmeabout
Wie kann ich meine Lieferung verfolgen, tellmeabout
Welche Zahlungsmöglichkeiten werden angeboten, tellmeabout
Wo finde ich das Rücksendeetikett, tellmeabout
Wie kann ich die Abholung der Retour vereinbaren, tellmeabout
Wie kann ich UPS kontaktieren um einen Abholtermin auszumachen, tellmeabout
Wie lange ist ein Produkt verfügbar, tellmeabout
Wie lange werden reduzierte Artikel angeboten, tellmeabout
